Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,btts,over_2_5,result,home_form,away_form,h2h_wins,home_avg_gs,home_avg_gc,away_avg_gs,away_avg_gc,form_diff,gs_diff,gc_diff
2015-09-24,Betis,La Coruna,1,2,A,1,1,2,5,5,0,1.0,1.0,1.0,1.0,0,0.0,0.0
2015-09-25,Valencia,Granada,1,0,H,0,0,0,6,3,0,0.4,0.4,0.8,2.2,3,-0.4,-1.8000000000000003
2015-09-26,Barcelona,Las Palmas,2,1,H,1,1,0,12,5,0,1.8,1.2,1.0,1.0,7,0.8,0.19999999999999996
2015-09-26,Eibar,Celta,1,1,D,1,0,1,8,13,0,1.4,1.0,2.8,1.2,-5,-1.4,-0.19999999999999996
2015-09-26,Real Madrid,Malaga,0,0,D,0,0,1,13,2,0,2.8,0.2,0.0,0.6,11,2.8,-0.39999999999999997
2015-09-26,Sevilla,Vallecano,3,2,H,1,1,0,2,7,0,0.4,1.6,0.8,1.4,-5,-0.4,0.20000000000000018
2015-09-26,Villarreal,Ath Madrid,1,0,H,0,0,0,13,12,0,2.2,0.8,1.8,0.4,1,0.40000000000000013,0.4
2015-09-27,Sp Gijon,Betis,1,2,A,1,1,2,5,5,0,0.8,1.0,0.6,1.6,0,0.20000000000000007,-0.6000000000000001
2015-09-27,Getafe,Levante,3,0,H,0,1,0,3,3,0,0.6,1.6,1.0,1.8,0,-0.4,-0.19999999999999996
2015-09-27,La Coruna,Espanol,3,0,H,0,1,0,8,9,0,1.6,1.2,1.2,2.2,-1,0.40000000000000013,-1.0000000000000002
2015-09-27,Sociedad,Ath Bilbao,0,0,D,0,0,1,5,3,0,1.0,0.8,1.0,1.8,2,0.0,-1.0
2015-10-02,Celta,Getafe,0,0,D,0,0,1,11,6,0,2.6,1.2,1.2,1.4,5,1.4000000000000001,-0.19999999999999996
2015-10-03,Sevilla,Barcelona,2,1,H,1,1,0,4,12,0,1.0,2.0,2.0,1.4,-8,-1.0,0.6000000000000001
2015-10-03,Malaga,Sociedad,3,1,H,1,1,0,2,5,0,0.0,0.6,1.0,0.8,-3,-1.0,-0.20000000000000007
2015-10-03,Espanol,Sp Gijon,1,2,A,1,1,2,6,4,0,1.0,2.8,1.0,1.4,2,0.0,1.4
2015-10-03,Granada,La Coruna,1,1,D,1,0,1,3,10,0,0.6,1.8,2.2,1.2,-7,-1.6,0.6000000000000001
2015-10-03,Las Palmas,Eibar,0,2,A,0,0,2,5,6,0,1.2,1.2,1.0,1.0,-1,0.19999999999999996,0.19999999999999996
2015-10-04,Ath Bilbao,Valencia,3,1,H,1,1,0,4,8,0,1.0,1.6,0.6,0.4,-4,0.4,1.2000000000000002
2015-10-04,Ath Madrid,Real Madrid,1,1,D,1,0,1,9,13,0,1.6,0.6,2.8,0.2,-4,-1.1999999999999997,0.39999999999999997
2015-10-04,Levante,Villarreal,1,0,H,0,0,0,3,15,0,0.8,2.0,2.2,0.6,-12,-1.4000000000000001,1.4
2015-10-04,Vallecano,Betis,0,2,A,0,0,2,6,7,0,1.2,2.0,0.8,1.6,-1,0.3999999999999999,0.3999999999999999
2015-10-17,Barcelona,Vallecano,5,2,H,1,1,0,9,6,0,2.0,1.8,1.2,1.8,3,0.8,0.0
2015-10-17,Betis,Espanol,1,3,A,1,1,2,10,6,0,1.2,0.6,1.0,2.6,4,0.19999999999999996,-2.0
2015-10-17,Eibar,Sevilla,1,1,D,1,0,1,6,7,0,1.0,1.0,1.4,1.6,-1,-0.3999999999999999,-0.6000000000000001
2015-10-17,Real Madrid,Levante,3,0,H,0,1,0,11,5,0,2.0,0.4,1.0,2.0,6,1.0,-1.6
2015-10-17,Valencia,Malaga,3,0,H,0,1,0,7,5,0,0.6,0.8,0.6,0.6,2,0.0,0.20000000000000007
2015-10-18,Sociedad,Ath Madrid,0,2,A,0,0,2,4,7,0,1.2,1.4,1.2,0.8,-3,0.0,0.5999999999999999
2015-10-18,Villarreal,Celta,1,2,A,1,1,2,12,9,0,1.6,0.6,2.0,1.2,3,-0.3999999999999999,-0.6
2015-10-18,Getafe,Las Palmas,4,0,H,0,1,0,7,4,0,1.0,1.0,1.2,1.6,3,-0.19999999999999996,-0.6000000000000001
2015-10-18,La Coruna,Ath Bilbao,2,2,D,1,1,1,10,7,0,2.2,1.2,1.6,1.4,3,0.6000000000000001,-0.19999999999999996
2015-10-19,Sp Gijon,Granada,3,3,D,1,1,1,6,1,0,1.4,1.6,0.4,1.8,5,0.9999999999999999,-0.19999999999999996
2015-10-23,Vallecano,Espanol,3,0,H,0,1,0,6,9,0,1.4,2.2,1.6,1.6,-3,-0.20000000000000018,0.6000000000000001
2015-10-24,Celta,Real Madrid,1,3,A,1,1,2,11,11,0,1.8,0.8,1.4,0.4,0,0.40000000000000013,0.4
2015-10-24,Granada,Betis,1,1,D,1,0,1,2,7,0,0.8,1.8,1.2,1.2,-5,-0.3999999999999999,0.6000000000000001
2015-10-24,Malaga,La Coruna,2,0,H,0,0,0,4,8,0,0.6,1.2,2.0,1.4,-4,-1.4,-0.19999999999999996
2015-10-24,Sevilla,Getafe,5,0,H,0,1,0,7,10,0,1.4,1.6,1.6,0.4,-3,-0.20000000000000018,1.2000000000000002
2015-10-25,Ath Madrid,Valencia,2,1,H,1,1,0,10,7,0,1.4,0.4,1.0,0.8,3,0.3999999999999999,-0.4
2015-10-25,Barcelona,Eibar,3,1,H,1,1,0,9,6,0,2.6,2.0,1.2,1.2,3,1.4000000000000001,0.8
2015-10-25,Las Palmas,Villarreal,0,0,D,0,0,1,3,9,0,0.6,1.8,1.2,0.8,-6,-0.6,1.0
2015-10-25,Levante,Sociedad,0,4,A,0,1,2,4,4,0,0.8,2.4,1.2,1.6,0,-0.3999999999999999,0.7999999999999998
2015-10-26,Ath Bilbao,Sp Gijon,3,0,H,0,1,0,5,7,0,1.4,1.6,2.0,2.0,-2,-0.6000000000000001,-0.3999999999999999
2015-10-30,La Coruna,Ath Madrid,1,1,D,1,0,1,8,10,0,1.6,1.2,1.4,0.6,-2,0.20000000000000018,0.6
2015-10-31,Valencia,Levante,3,0,H,0,1,0,6,4,0,1.2,1.2,0.6,2.4,2,0.6,-1.2
2015-10-31,Villarreal,Sevilla,2,1,H,1,1,0,7,10,0,0.6,0.6,2.2,1.2,-3,-1.6,-0.6
2015-10-31,Sociedad,Celta,2,3,A,1,1,2,7,8,0,1.6,1.0,1.6,1.2,-1,0.0,-0.19999999999999996
2015-10-31,Getafe,Barcelona,0,2,A,0,0,2,7,9,0,1.4,1.4,2.4,2.0,-2,-1.0,-0.6000000000000001
2015-10-31,Real Madrid,Las Palmas,3,1,H,1,1,0,11,4,0,1.8,0.6,0.6,1.6,7,1.2000000000000002,-1.0
